iter	Logloss
0	0.6734460331
1	0.6550768514
2	0.6383896506
3	0.6231937527
4	0.6088841639
5	0.5955920082
6	0.5835977384
7	0.5722788474
8	0.5621733497
9	0.5524923975
10	0.5435045547
11	0.5357025218
12	0.5279422521
13	0.5208888048
14	0.5145099333
15	0.5085431849
16	0.5029902825
17	0.4979626745
18	0.4933357036
19	0.4888775521
20	0.4846969041
21	0.4807672883
22	0.4774790923
23	0.4741715094
24	0.4709099097
25	0.4681649113
26	0.4655065796
27	0.4632210558
28	0.4612075167
29	0.4590326278
30	0.4571469642
31	0.4553118831
32	0.4533236762
33	0.4516423395
34	0.4499863313
35	0.4484942734
36	0.4470832099
37	0.4458297694
38	0.444461786
39	0.4432467836
40	0.4421382932
41	0.4412456155
42	0.4402095562
43	0.4392519112
44	0.4383598242
45	0.4374698738
46	0.4366373436
47	0.4358993496
48	0.4353369964
49	0.4346734351
50	0.4341268857
51	0.4335438942
52	0.4329811038
53	0.4324283771
54	0.431940694
55	0.4314346082
56	0.4309142993
57	0.4303989306
58	0.4299667187
59	0.4296251837
60	0.4291807741
61	0.4288747513
62	0.4285419174
63	0.4281816965
64	0.4278574123
65	0.4275088138
66	0.4271991301
67	0.4269346427
68	0.4266315887
69	0.4263031785
70	0.4260098081
71	0.4256359219
72	0.425394993
73	0.425077633
74	0.424831765
75	0.4246103879
76	0.4243028713
77	0.4239855365
78	0.4238137067
79	0.4235831393
80	0.4233531896
81	0.423100318
82	0.4229139328
83	0.4226662241
84	0.4224776479
85	0.4223339205
86	0.422166246
87	0.4219455759
88	0.4217035761
89	0.4215182751
90	0.4213163638
91	0.4211527836
92	0.4210165504
93	0.4208500158
94	0.4206821046
95	0.4204330192
96	0.4202806478
97	0.4200514994
98	0.4198811741
99	0.4197254751
100	0.4194977431
101	0.4193632806
102	0.4191590243
103	0.4190089322
104	0.4188257636
105	0.4186201255
106	0.4184341353
107	0.418323169
108	0.4181471028
109	0.4180370444
110	0.4178972876
111	0.417729946
112	0.4176078768
113	0.4174260372
114	0.4172965565
115	0.4171351439
116	0.4169783107
117	0.4167574506
118	0.416622632
119	0.416488648
120	0.4163413362
121	0.416206157
122	0.4160872672
123	0.4158911182
124	0.4158257578
125	0.4157123595
126	0.4155982848
127	0.4154384408
128	0.4153005825
129	0.4151428905
130	0.4149759944
131	0.414871283
132	0.4147541055
133	0.4146294884
134	0.4145036377
135	0.414351242
136	0.4142163211
137	0.4141233443
138	0.4139605329
139	0.4138454364
140	0.4137118919
141	0.4136033495
142	0.413461171
143	0.4133337598
144	0.4132233081
145	0.4130907185
146	0.4129667969
147	0.4128592533
148	0.4127200294
149	0.4126498518
150	0.4125257027
151	0.4124151706
152	0.4122873119
153	0.4121393916
154	0.4120452978
155	0.4119119172
156	0.4118564926
157	0.4117409619
158	0.4116711174
159	0.4115418946
160	0.4114116597
161	0.4113051523
162	0.4112114943
163	0.4111030114
164	0.411029665
165	0.4109313433
166	0.4108393309
167	0.4107998582
168	0.4107201799
169	0.4106250656
170	0.4105568235
171	0.4104752451
172	0.4103860231
173	0.4102827656
174	0.4101712938
175	0.410085115
176	0.4100003407
177	0.4098584404
178	0.409706005
179	0.4096230543
180	0.4095381612
181	0.409408941
182	0.4093233662
183	0.4092479952
184	0.4091137099
185	0.4089626877
186	0.4088315636
187	0.4087228119
188	0.4086421028
189	0.4085804581
190	0.4084578249
191	0.4083523077
192	0.4082828648
193	0.4081509669
194	0.4080590743
195	0.4079661163
196	0.4078749857
197	0.4077881692
198	0.4076704968
199	0.4075618264
200	0.4075012507
201	0.4074724879
202	0.4073158298
203	0.4072018968
204	0.4070913475
205	0.4070079298
206	0.4069373518
207	0.406825629
208	0.4066986998
209	0.4066197969
210	0.4065038997
211	0.4063822
212	0.4062656355
213	0.4061440709
214	0.4059784691
215	0.4059074672
216	0.4057632285
217	0.4057335464
218	0.4056518532
219	0.4056024402
220	0.4055657859
221	0.4054848487
222	0.4053682933
223	0.4053016225
224	0.4052535981
225	0.4051197996
226	0.4050598241
