iter	Passed	Remaining
0	3	3139
1	6	3042
2	9	3028
3	12	3081
4	15	3120
5	18	3081
6	21	3043
7	24	3053
8	27	3040
9	30	3054
10	33	3029
11	36	2989
12	39	3003
13	42	2993
14	45	2980
15	48	2958
16	50	2936
17	53	2914
18	55	2887
19	58	2882
20	61	2887
21	65	2890
22	67	2871
23	70	2876
24	73	2862
25	76	2876
26	79	2876
27	82	2880
28	84	2845
29	88	2848
30	90	2838
31	94	2862
32	97	2856
33	100	2854
34	103	2852
35	106	2844
36	109	2839
37	111	2830
38	115	2846
39	118	2843
40	121	2832
41	123	2820
42	126	2825
43	129	2818
44	133	2830
45	136	2826
46	139	2821
47	141	2811
48	144	2805
49	147	2794
50	149	2782
51	152	2771
52	155	2773
53	157	2763
54	160	2758
55	163	2753
56	165	2745
57	168	2741
58	171	2734
59	174	2736
60	177	2733
61	180	2734
62	183	2732
63	186	2725
64	189	2722
65	192	2720
66	195	2716
67	197	2713
68	200	2706
69	203	2700
70	206	2702
71	209	2698
72	212	2696
73	215	2693
74	218	2693
75	221	2693
76	224	2694
77	227	2685
78	229	2677
79	233	2681
80	235	2676
81	238	2671
82	241	2669
83	244	2665
84	247	2658
85	250	2657
86	252	2652
87	255	2649
88	258	2650
89	261	2645
90	264	2643
91	267	2639
92	271	2643
93	275	2651
94	277	2646
95	281	2646
96	284	2648
97	287	2644
98	290	2640
99	293	2637
100	295	2633
101	299	2633
102	302	2633
103	305	2629
104	308	2631
105	311	2626
106	314	2624
107	317	2622
108	320	2617
109	322	2612
110	325	2609
111	328	2603
112	330	2597
113	334	2598
114	336	2592
115	339	2590
116	343	2588
117	345	2584
118	349	2587
119	352	2583
120	355	2578
121	358	2579
122	361	2575
123	364	2575
124	367	2571
125	370	2569
126	373	2566
127	376	2562
128	379	2559
129	382	2557
130	385	2555
131	387	2550
132	390	2547
133	393	2544
134	396	2538
135	398	2532
136	401	2530
137	404	2528
138	407	2526
139	410	2521
140	414	2522
141	417	2524
142	420	2520
143	424	2523
144	427	2519
145	429	2514
146	433	2514
147	436	2511
148	439	2508
149	442	2506
150	446	2511
151	449	2507
152	452	2503
153	455	2499
154	457	2495
155	460	2490
156	464	2492
157	467	2490
158	470	2486
159	473	2484
160	476	2481
161	479	2478
162	482	2477
163	485	2475
164	488	2471
165	490	2466
166	494	2464
167	497	2462
168	500	2459
169	503	2457
170	506	2454
171	509	2453
172	512	2449
173	515	2447
174	518	2445
175	521	2442
176	524	2441
177	529	2445
178	532	2442
179	535	2439
180	538	2437
181	541	2435
182	545	2433
183	548	2431
184	551	2429
185	554	2424
186	557	2423
187	561	2424
188	564	2420
189	567	2421
190	570	2418
191	574	2417
192	577	2415
193	580	2411
194	597	2464
195	600	2462
196	603	2458
197	605	2454
198	608	2450
199	611	2446
200	614	2442
201	617	2439
202	620	2434
203	623	2431
204	626	2429
205	629	2425
206	632	2422
207	635	2419
208	638	2415
209	641	2412
210	644	2409
211	647	2406
212	649	2401
213	652	2396
214	655	2395
215	658	2391
216	661	2387
217	664	2382
218	667	2379
219	669	2374
220	672	2370
221	675	2366
222	678	2364
223	681	2360
224	684	2357
225	687	2354
226	690	2351
227	693	2347
228	694	2338
229	697	2334
230	699	2329
231	702	2325
232	705	2321
233	708	2319
234	711	2316
235	714	2312
236	717	2309
237	720	2306
238	723	2304
239	726	2302
240	730	2300
241	733	2296
242	736	2294
243	739	2292
244	743	2289
245	746	2287
246	749	2286
247	753	2284
248	756	2281
249	760	2281
250	763	2278
251	766	2273
252	768	2269
253	772	2268
254	775	2264
255	778	2262
256	781	2260
257	784	2257
258	789	2258
259	792	2256
260	795	2252
261	799	2250
262	801	2247
263	804	2244
264	807	2240
265	810	2237
266	814	2235
267	817	2231
268	820	2230
269	823	2227
270	827	2227
271	832	2226
272	834	2223
273	837	2219
274	840	2215
275	842	2211
276	845	2206
277	848	2202
278	850	2199
279	853	2195
280	856	2192
281	859	2188
282	862	2185
283	865	2181
284	868	2178
285	870	2173
286	873	2170
287	876	2166
288	879	2163
289	882	2160
290	885	2157
291	888	2153
292	891	2150
293	894	2147
294	897	2144
295	899	2140
296	902	2137
297	905	2133
298	908	2130
299	911	2127
300	914	2124
301	917	2120
302	921	2119
303	923	2115
304	927	2113
305	930	2110
306	933	2107
307	936	2103
308	939	2101
309	943	2099
310	946	2096
311	949	2093
312	953	2091
313	956	2088
314	958	2084
315	962	2082
316	964	2078
317	968	2076
318	971	2073
319	974	2070
320	977	2066
321	980	2063
322	982	2059
323	986	2057
324	989	2054
325	992	2051
326	995	2047
327	998	2044
328	1001	2042
329	1004	2039
330	1007	2036
331	1010	2033
332	1014	2031
333	1017	2029
334	1022	2029
335	1025	2026
336	1028	2023
337	1031	2019
338	1035	2018
339	1038	2015
340	1042	2013
341	1045	2010
342	1048	2007
343	1050	2004
344	1054	2001
345	1058	2000
346	1060	1996
347	1063	1992
348	1066	1989
349	1070	1988
350	1073	1985
351	1077	1983
352	1080	1980
353	1083	1977
354	1086	1974
355	1089	1970
356	1092	1967
357	1095	1965
358	1098	1962
359	1102	1959
360	1104	1955
361	1107	1952
362	1110	1949
363	1113	1945
364	1116	1942
365	1119	1939
366	1122	1936
367	1125	1933
368	1128	1929
369	1131	1926
370	1134	1923
371	1137	1919
372	1141	1918
373	1144	1915
374	1147	1912
375	1150	1908
376	1153	1905
377	1156	1902
378	1159	1900
379	1162	1897
380	1166	1895
381	1170	1892
382	1173	1889
383	1176	1886
384	1179	1883
385	1181	1880
386	1184	1877
387	1187	1873
388	1190	1869
389	1193	1866
390	1196	1863
391	1198	1859
392	1201	1855
393	1204	1851
394	1215	1862
395	1219	1859
396	1222	1856
397	1225	1853
398	1228	1850
399	1231	1847
400	1235	1845
401	1238	1842
402	1241	1838
403	1244	1835
404	1247	1832
405	1250	1829
406	1253	1826
407	1256	1823
408	1259	1819
409	1262	1816
410	1266	1814
411	1269	1811
412	1271	1807
413	1275	1805
414	1278	1802
415	1281	1799
416	1284	1795
417	1287	1792
418	1289	1788
419	1292	1784
420	1294	1780
421	1297	1776
422	1300	1773
423	1303	1770
424	1305	1766
425	1310	1765
426	1312	1761
427	1315	1758
428	1318	1755
429	1321	1752
430	1325	1750
431	1329	1748
432	1332	1744
433	1335	1741
434	1338	1738
435	1340	1734
436	1343	1731
437	1346	1727
438	1349	1724
439	1352	1720
440	1355	1718
441	1358	1714
442	1361	1711
443	1364	1708
444	1366	1704
445	1370	1701
446	1373	1698
447	1377	1697
448	1380	1694
449	1383	1690
450	1385	1686
451	1388	1683
452	1391	1680
453	1394	1677
454	1397	1674
455	1401	1671
456	1404	1668
457	1407	1665
458	1410	1662
459	1412	1658
460	1415	1655
461	1418	1651
462	1420	1647
463	1423	1643
464	1425	1640
465	1428	1637
466	1431	1634
467	1434	1630
468	1437	1627
469	1440	1623
470	1443	1620
471	1446	1617
472	1449	1614
473	1452	1612
474	1456	1609
475	1459	1606
476	1462	1603
477	1465	1600
478	1468	1597
479	1471	1593
480	1474	1590
481	1477	1588
482	1480	1584
483	1484	1582
484	1486	1578
485	1490	1576
486	1493	1573
487	1496	1569
488	1499	1567
489	1502	1563
490	1505	1560
491	1508	1557
492	1510	1553
493	1513	1550
494	1517	1547
495	1520	1544
496	1523	1541
497	1526	1538
498	1530	1536
499	1532	1532
500	1535	1529
501	1538	1526
502	1541	1523
503	1544	1520
504	1548	1517
505	1552	1515
506	1554	1511
507	1557	1508
508	1560	1505
509	1563	1502
510	1566	1499
511	1569	1496
512	1572	1492
513	1575	1489
514	1578	1486
515	1581	1483
516	1584	1480
517	1586	1476
518	1589	1473
519	1592	1469
520	1594	1466
521	1597	1463
522	1600	1459
523	1603	1456
524	1606	1453
525	1608	1449
526	1612	1446
527	1615	1443
528	1618	1440
529	1620	1437
530	1623	1433
531	1626	1430
532	1630	1428
533	1633	1425
534	1636	1422
535	1639	1419
536	1642	1416
537	1645	1413
538	1648	1409
539	1651	1406
540	1654	1403
541	1657	1400
542	1660	1397
543	1663	1394
544	1666	1391
545	1670	1388
546	1674	1386
547	1677	1383
548	1680	1380
549	1683	1377
550	1686	1374
551	1689	1371
552	1693	1368
553	1695	1365
554	1698	1362
555	1702	1359
556	1705	1356
557	1708	1353
558	1710	1349
559	1714	1347
560	1717	1344
561	1720	1341
562	1724	1338
563	1727	1335
564	1730	1332
565	1734	1329
566	1737	1326
567	1740	1323
568	1743	1320
569	1746	1317
570	1749	1314
571	1752	1311
572	1755	1308
573	1759	1305
574	1761	1302
575	1764	1299
576	1767	1295
577	1770	1292
578	1773	1289
579	1776	1286
580	1779	1283
581	1781	1279
582	1784	1276
583	1787	1273
584	1789	1269
585	1792	1266
586	1795	1263
587	1798	1260
588	1801	1257
589	1804	1253
590	1807	1250
591	1810	1247
592	1813	1244
593	1816	1241
594	1819	1238
595	1822	1235
596	1825	1232
597	1829	1229
598	1832	1226
599	1835	1223
600	1838	1220
601	1840	1217
602	1844	1214
603	1846	1210
604	1850	1208
605	1853	1205
606	1856	1202
607	1859	1199
608	1862	1196
609	1866	1193
610	1869	1189
611	1872	1187
612	1875	1183
613	1878	1180
614	1881	1177
615	1884	1174
616	1887	1171
617	1891	1169
618	1894	1166
619	1897	1162
620	1900	1159
621	1903	1156
622	1906	1153
623	1909	1150
624	1912	1147
625	1916	1144
626	1919	1141
627	1922	1138
628	1925	1135
629	1928	1132
630	1931	1129
631	1934	1126
632	1937	1123
633	1941	1120
634	1944	1117
635	1947	1114
636	1950	1111
637	1953	1108
638	1956	1105
639	1959	1102
640	1962	1099
641	1966	1096
642	1969	1093
643	1971	1090
644	1974	1086
645	1978	1084
646	1981	1081
647	1985	1078
648	1987	1075
649	1991	1072
